country,experiment_type,experiment_type_full,R2_Average,MAE_Average,RMSE_Average,training_samples,finetune_samples,log_Scope1,log_Scope2,log_Scope3_upstream,log_Scope3_downLA,log_Scope3_prod,log_Scope_total
CYM,C_dev,Transfer_Learning_Developed,0.7255622744560242,1.0590359071890514,1.4203858555173825,58951,145,0.6463420391082764,0.6946349143981934,0.8746726512908936,0.5117205381393433,0.7520167827606201,0.8739867210388184
CYM,Transfer_Learning_FTT,Transfer_Learning_FTT,0.5559294323126475,1.244837353626887,1.8104477578303788,85078,145,0.4605650305747986,0.5167474746704102,0.8419144153594971,0.2830091714859009,0.5928072929382324,0.6405332088470459
CYM,Transfer_Learning_FTT_Developed,Transfer_Learning_FTT_Developed,0.5388685266176859,1.2339654862880707,1.7947369654296796,58951,145,0.48015981912612915,0.5658614635467529,0.888568639755249,-0.09716904163360596,0.6282433271408081,0.7675469517707825
CYM,D_full,Transfer_Learning_FTT_Full,0.655213862657547,1.0378824174404144,1.4096260184425555,85078,145,0.3143079876899719,0.47436046600341797,0.9025465846061707,0.6590926051139832,0.894687831401825,0.6862877011299133
CYM,D_full_dev,Transfer_Learning_FTT_Full_Developed,0.5323048134644827,1.2457516094048817,1.8160386301411877,58951,145,0.4965226650238037,0.6673440337181091,0.7720131874084473,-0.15522551536560059,0.627892017364502,0.7852824926376343
COL,C,Transfer_Learning,0.8566119273503622,0.8635764221350352,1.3075353632581705,85133,90,0.8665582537651062,0.7645558714866638,0.9504279494285583,0.844952404499054,0.7885642051696777,0.9246128797531128
COL,C_dev,Transfer_Learning_Developed,0.818234384059906,0.8472851266463598,1.4419623605300098,59096,90,0.7697829008102417,0.726012110710144,0.9063700437545776,0.9172630906105042,0.7396788001060486,0.8502993583679199
COL,Transfer_Learning_FTT,Transfer_Learning_FTT,0.7380479574203491,1.2038114269574482,1.6359006727448389,85133,90,0.703654408454895,0.7068015336990356,0.8340363502502441,0.4829612970352173,0.8808504343032837,0.819983720779419
COL,Transfer_Learning_FTT_Developed,Transfer_Learning_FTT_Developed,0.5982834200064341,1.4889162480831146,2.103013553437936,59096,90,0.6659591197967529,0.23364388942718506,0.8716383576393127,0.4140530824661255,0.5956315994262695,0.808774471282959
COL,D_full,Transfer_Learning_FTT_Full,0.7484729985396067,1.1013502180576324,1.6100649135527252,85133,90,0.7181180715560913,0.5423011779785156,0.9034957885742188,0.6203802227973938,0.8418530225753784,0.8646897077560425
