country,experiment_type,experiment_type_full,R2_Average,MAE_Average,RMSE_Average,training_samples,valid_training_samples,data_efficiency,log_Scope1,log_Scope2,log_Scope3_upstream,log_Scope3_downLA,log_Scope3_prod,log_Scope_total
MYS,A,Country_Self_Modeling,0.8362876935563196,0.8031061776825722,1.1133028276359778,2691,823,0.3058342623560015,0.7834421088262953,0.7636531397386896,0.9560798356375351,0.8056906763423414,0.807294130652834,0.901566270140222
MYS,B,Global_Baseline,0.6734035462441826,1.2242242719339536,1.650927842588653,84046,0,0.0,0.7264378473600197,0.6020027138484347,0.7951188419817553,0.4940635242939527,0.6166323398990101,0.806166010081923
MYS,B_dev,Developed_Baseline,0.6498039740576202,1.2689094527584854,1.6972378512493937,59096,0,0.0,0.6937652355836247,0.5813243890424581,0.7067904077526161,0.516391337905137,0.626633117540252,0.7739193565216338
BEL,A,Country_Self_Modeling,0.815096854446618,0.9972872523673049,1.4106087579447009,928,226,0.2435344827586207,0.9175954117275429,0.8064544142274604,0.9183251998633983,0.5841002469581023,0.7272571679754851,0.9368486859277186
BEL,B,Global_Baseline,0.6696328974014891,1.552655399183415,2.1000307798155027,84899,0,0.0,0.7280145394317276,0.6959847655830406,0.8212234578202684,0.5209970544319293,0.4490518773091302,0.8025256898328392
BEL,B_dev,Developed_Baseline,0.7023398978712964,1.4029369047633757,1.989502864638485,58772,0,0.0,0.7384000551256611,0.7238513764728094,0.9116429212825946,0.5337947195417312,0.4163655977109211,0.8899847170940616
FIN,A,Country_Self_Modeling,0.7988327804870016,0.9574107296600451,1.3486248487578594,1004,242,0.2410358565737052,0.7556737392252119,0.923493069188638,0.9521921399659516,0.5359117331266774,0.6764444923493146,0.9492815090662156
FIN,B,Global_Baseline,0.6763034650590427,1.3517633635516952,1.8216558409103347,84877,0,0.0,0.7459567575870646,0.8389967437409845,0.9207523097123735,0.04989558678676198,0.5727815917951404,0.9294378007319309
FIN,B_dev,Developed_Baseline,0.6956294293543239,1.2950202454010544,1.7632178603116158,58750,0,0.0,0.7629473529305112,0.8543611972333336,0.9006135833369013,0.10274702704637106,0.6101340245759099,0.9429733910029163
BRA,A,Country_Self_Modeling,0.7821078462374204,1.0841856138066006,1.5403747019197518,2657,714,0.26872412495295445,0.8711461257310145,0.7948713623361623,0.9468192775144838,0.5281338986549949,0.6105508520477354,0.9411255611401309
BRA,B,Global_Baseline,0.5675525980795837,1.6469362965616003,2.196401123594626,84203,0,0.0,0.7224404567838913,0.4638325640675044,0.8281399013854376,0.2764454427685381,0.30242852982876667,0.8120286936433644
BRA,B_dev,Developed_Baseline,0.5604235431771131,1.665491320173041,2.2037747454214247,59096,0,0.0,0.7147743454497697,0.41532917046655604,0.82626892821357,0.27510636483863427,0.32863930882849324,0.8024231412656554
MEX,A,Country_Self_Modeling,0.8252469098598877,1.0330961151472529,1.3752516750255195,1119,289,0.258266309204647,0.9073673306271893,0.8176676567471158,0.9617830538810719,0.7136472520554507,0.6452815741852373,0.9057345916632602
MEX,B,Global_Baseline,0.6917967748266313,1.4255827551187839,1.90693352548057,84810,0,0.0,0.7983881726239759,0.6583076113314099,0.8797608856836685,0.40907829681629604,0.5814321509991791,0.8238135315052582
MEX,B_dev,Developed_Baseline,0.6131632723320419,1.619164202509708,2.123138459951321,59096,0,0.0,0.7862061657227072,0.6051690394102843,0.7262363626363797,0.31422400787514726,0.5322111305035403,0.7149329278441933
GRC,A,Country_Self_Modeling,0.7698760085133537,1.0951227226969253,1.6362786624065118,615,139,0.22601626016260162,0.8228190897094849,0.6180025268283481,0.8719655816081371,0.7200234038253339,0.7018832470302867,0.8845622020785319
GRC,B,Global_Baseline,0.6483675035911031,1.4243086389760606,1.979060357904789,85024,0,0.0,0.7518055672207904,0.5747526095454119,0.8824457763103396,0.322315565583142,0.5414019366485523,0.8174835662383823
GRC,B_dev,Developed_Baseline,0.6572196847731077,1.384638953949412,1.9444086255984125,58897,0,0.0,0.753848746607815,0.5751634235685784,0.9109944288733076,0.3117579002580184,0.5811336319052369,0.8104199774256894
TWN,A,Country_Self_Modeling,0.832302237501351,0.6868176009266161,1.0946817800254043,8959,3019,0.33697957361312647,0.8337863531416796,0.8681928108338257,0.9724720099825426,0.6721092316817883,0.7050055418791072,0.9422474774891629
TWN,B,Global_Baseline,0.6485348827956778,1.1282873066038845,1.5954172248270695,80908,0,0.0,0.6205214692806235,0.6784640008809242,0.8118724548321048,0.45418255341264435,0.5309578142743745,0.7952110040933955
TWN,B_dev,Developed_Baseline,0.6204133985158405,1.1866850119473802,1.6501833110202266,54781,0,0.0,0.5791973349168322,0.647856150839315,0.7828514863492958,0.4087772188114659,0.5469285599653358,0.7568696402127987
AUT,A,Country_Self_Modeling,0.8118214656975478,0.8706103659566703,1.2192787024877314,630,139,0.22063492063492063,0.8532465074187529,0.8111359506654359,0.9001136836651616,0.5990252525950333,0.8172509761673559,0.8901564236735477
AUT,B,Global_Baseline,0.7008633080748945,1.333943551196376,1.7444522688877138,85023,0,0.0,0.8140979683798402,0.709063661662555,0.8507188356965097,0.3969584913679923,0.5384815473712056,0.8958593439712638
AUT,B_dev,Developed_Baseline,0.6879700080684051,1.3659686747641475,1.7927191257331385,58896,0,0.0,0.8285782781938875,0.7407448616152144,0.8096832675750179,0.4046623294608551,0.4889552522808872,0.8551960592845692
IND,A,Country_Self_Modeling,0.8456624739861524,0.7664781261542579,1.1448172781950745,7739,2532,0.3271740534952836,0.8853967574711108,0.8066057981956756,0.9485503449362209,0.6981674200321619,0.7991908354262768,0.9360636878554677
IND,B,Global_Baseline,0.5545676789184799,1.409126177871747,1.8931913554258557,81605,0,0.0,0.6589169737383781,0.48779580656698973,0.6062930037573717,0.3790590384771195,0.581483961921633,0.6138572890493875
IND,B_dev,Developed_Baseline,0.4341443842503936,1.6109979244495627,2.082967532571273,59096,0,0.0,0.5983651191535605,0.41857297102172664,0.2497731412959956,0.3391440795548535,0.5718481289937122,0.42716286548251337
PRT,A,Country_Self_Modeling,0.8354686236141883,1.0884887847273639,1.3822790767817985,306,56,0.1830065359477124,0.9750150177137847,0.9182231187342583,0.9624081815314082,0.8195653056678625,0.3556483132294088,0.9819518048084069
PRT,B,Global_Baseline,0.6399217050641215,1.4174654769807058,1.9200074004270562,85143,0,0.0,0.8835548795911415,0.7812967928868891,0.9197642902171816,-0.1331257971794113,0.46815013987494125,0.9198899249939865
PRT,B_dev,Developed_Baseline,0.6733380270708215,1.335005573140717,1.8198014092537582,59016,0,0.0,0.8701806547839367,0.7680130814380759,0.9427584717214484,-0.024782766793303823,0.5526480007923367,0.9312107204824354
KOR,A,Country_Self_Modeling,0.8772892507364701,0.6185747789987371,0.9560053758480357,10737,3832,0.35689671230325043,0.9083935999913378,0.9462251158207811,0.9766564969059028,0.6822138867506085,0.7773483621864994,0.9728980427636909
KOR,B,Global_Baseline,0.18758951022554396,1.9999689382536434,2.426163477342294,79747,0,0.0,0.34632773297035835,-0.10081725561219779,0.0028032877484099883,0.24788468129769026,0.4826943844769228,0.1466442304720803
KOR,B_dev,Developed_Baseline,0.3583191649337611,1.8079553643970439,2.2524891870330053,53620,0,0.0,0.5076431041085565,0.2814636347308386,0.38560426359834465,0.30366450316148363,0.2539144744674514,0.41762500953589177
THA,A,Country_Self_Modeling,0.8910162173378652,0.6485569065488856,1.0336025939537647,2453,807,0.32898491642886263,0.9356617649180303,0.8037574459779827,0.9678432004757385,0.7964568686451178,0.8791348435266606,0.9632431804836623
