country,labeled_samples,R2_Average_C,R2_log_Scope1_C,R2_log_Scope2_C,R2_log_Scope3_upstream_C,R2_log_Scope3_downLA_C,R2_log_Scope3_prod_C,R2_log_Scope_total_C,R2_Average_CT,R2_log_Scope1_CT,R2_log_Scope2_CT,R2_log_Scope3_upstream_CT,R2_log_Scope3_downLA_CT,R2_log_Scope3_prod_CT,R2_log_Scope_total_CT
IRL,288,0.8418521583080292,0.915218710899353,0.8581802845001221,0.943364679813385,0.5651811361312866,0.8188283443450928,0.9503397941589355,0.6592039527044382,0.7588175118444467,0.6863182717089382,0.8434263448326469,0.6499002234697924,0.1654917735998193,0.8512695907709853
RUS,257,0.815152774254481,0.9043646454811096,0.8467069268226624,0.8346818089485168,0.6161727905273438,0.8113011717796326,0.8776893019676208,0.6123386976835914,0.7730610247208807,0.7626477086941978,0.7213916006540446,0.6849206750714043,0.0514894194971007,0.6805217574639201
ARE,236,0.812582274278005,0.8759282231330872,0.8188951015472412,0.8740906119346619,0.6820394992828369,0.7043167352676392,0.9202234745025636,0.4590606759500344,0.7200063572945269,0.4878653475851968,0.535472815700099,0.0399241439659509,0.3673325951085604,0.6037627960458727
CHL,232,0.8811185459295908,0.9497449398040771,0.8106768727302551,0.9495384693145752,0.7656970620155334,0.8351512551307678,0.9759026765823364,0.6421686876679126,0.9108871279260914,0.5828422453985168,0.8505823417266638,0.2927354821512742,0.3381415926312564,0.8778233361736737
BMU,232,0.7236428658167521,0.8538292646408081,0.3951737880706787,0.9042581915855408,0.5135174989700317,0.7851417064666748,0.8899367451667786,0.5165182309977968,0.7748912629584281,0.2555434725653904,0.6997353532789186,0.5276815774361319,0.0827655925545658,0.7584921271933465
AUT,200,0.9124532341957092,0.9520206451416016,0.8673248887062073,0.9339112043380736,0.8484013080596924,0.9221917390823364,0.950869619846344,0.6474335389644467,0.8183362833986875,0.6662833202324681,0.7366585741588005,0.5002428655294824,0.4022649413688,0.7608152490984418
GRC,199,0.8572171727816263,0.9255186319351196,0.7125959396362305,0.9182780385017396,0.8064006567001343,0.8380355834960938,0.9424741864204408,0.4806818104303024,0.6920131329111352,0.3280614672524456,0.5285828728308608,0.2449714400287481,0.4301811825835787,0.6602807669750457
KWT,191,0.8214162985483805,0.9088237285614014,0.837565541267395,0.8548519611358643,0.7235748171806335,0.7029207944869995,0.9007609486579896,0.6579337875846948,0.7778862335419054,0.6360440206715161,0.7640003542008293,0.4506970820599183,0.5511803962730373,0.7677946387609618
EGY,189,0.8622026145458221,0.8536130785942078,0.8702791929244995,0.8464195728302002,0.8808692693710327,0.8348338603973389,0.8872007131576538,0.305593513695557,0.2867167954908504,0.1646594364063857,0.1018961493726405,0.6314742461253409,0.4873606109803743,0.16145384379775
LUX,179,0.8472984830538431,0.9051419496536256,0.930012345314026,0.9724595546722412,0.8281924724578857,0.4771783351898193,0.9708062410354614,0.5321732891869344,0.8061810859561667,0.6876351736715173,0.7758091931401834,-0.0413188455692299,0.2001704839762277,0.7645626439467416
QAT,162,0.8771158456802368,0.9335891604423524,0.8508910536766052,0.8695318698883057,0.9305098056793212,0.7448148131370544,0.933358371257782,0.5662124459124092,0.7973187309657315,0.5313317913596156,0.5258582544841344,0.3846453467332085,0.5336363759313327,0.6244841760004324
CYM,145,0.693720281124115,0.5860637426376343,0.5951534509658813,0.8470632433891296,0.5316857099533081,0.8016859889030457,0.8006695508956909,0.2998099475947681,0.42024324885041,0.35592863136009,0.4383600562615707,0.5028856003856608,-0.1288412437592134,0.2102833924700909
VNM,113,0.8314657211303711,0.8782780170440674,0.8004124760627747,0.8910086154937744,0.6939343214035034,0.8169412016868591,0.9082196950912476,0.6263537532899304,0.7236323986563038,0.8181179659139031,0.8611197951203617,0.503235133505247,0.0774182256704755,0.7745990008732917
NGA,91,0.6926424900690714,0.5823707580566406,0.1406275033950805,0.8878676891326904,0.7728899121284485,0.9392606019973756,0.8328384757041931,0.3418963208795696,0.412568550344641,-0.3512415410578908,0.3095563752285709,0.8196674899050213,0.3540564854489111,0.5067705654081641
COL,90,0.8566119273503622,0.8665582537651062,0.7645558714866638,0.9504279494285583,0.844952404499054,0.7885642051696777,0.9246128797531128,0.8107311538148734,0.8802833845296153,0.8114638858978407,0.9149119977672218,0.496749303337558,0.8487480608661649,0.912230290490839
PER,87,0.6936741570631663,0.8548158407211304,0.8147901892662048,0.8351325392723083,-0.0364983081817626,0.7861615419387817,0.9076431393623352,0.6473741051282055,0.8644810778377032,0.7507219913791844,0.841218774360971,0.7461664549639508,-0.1968447359969725,0.8785010682243963
PRT,80,0.8340783913930258,0.8715498447418213,0.7878542542457581,0.9082528352737428,0.7556983828544617,0.7754786014556885,0.905636429786682,0.4360652013900131,0.6617832060048795,0.145242336481425,0.3946338443884535,0.3880019749063489,0.547634998587871,0.479094847971101
MAR,66,0.8245043953259786,0.9638043642044068,0.736021101474762,0.7386947274208069,0.8328031301498413,0.7023605108261108,0.9733425378799438,0.1094416086698971,0.9498245096197646,0.9315180024058488,-2.111290228377034,-0.1545510872196793,0.7099170430412998,0.3312314125491828
KEN,52,0.8684471944967905,0.9559488892555236,0.8992166519165039,0.915216863155365,0.5664011240005493,0.925876796245575,0.9480228424072266,0.6290363598847836,0.8864694084318006,0.6096280586422365,0.5513280535012046,0.8943557376879641,0.1471732520344632,0.6852636490110331
ARG,50,0.6520993510882059,0.8187606930732727,0.7872161269187927,0.445117712020874,0.7024052143096924,0.45278000831604,0.706316351890564,-0.1329210349650942,0.9010288680209868,0.5933095233113086,0.5403620737350436,-4.20993127223977,0.5889294072994682,0.7887751900823978
